name,source,timeCollected,note
00-basic-with-hl.jpg,IBM QDC 2025,Nov. 2025,Image available upon request
01-basic-with-anno.jpg,IBM QDC 2025,Nov. 2025,Image available upon request
02-aggregate-ellipsis.png,https://www.nature.com/articles/s42005-025-02136-8.pdf,2025,Nov. 2025,Figure 1.A
04-sectioning-anno.png,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992896,Nov. 2025,Figure 2
05-vertical.png,https://arxiv.org/pdf/2512.21991,Nov. 2025,Figure 16 (left)
06-large-circuot-boxing.png,Qiskit documentation,Nov. 2025,Image available upon request (taken down from the original source).
07-line-wrapped.jpg,https://raw.githubusercontent.com/Qiskit/documentation/ffea99a26d909c00e6541148d97a6f7e41a69f72/public/docs/images/tutorials/grovers-algorithm/extracted-outputs/c9a3020e-0.avif,Nov. 2025,Grovers algorithm tutorial (Link https://quantum.cloud.ibm.com/docs/en/tutorials/grovers-algorithm). The image was taken down. The source link is from the commit history.
08-3d-pauli.jpg,IBM QDC 2025,Nov. 2025,Taken at the venue. Image available upon request
09-3d-large.jpg,IBM QDC 2025,Nov. 2025,Taken at the venue. Image available upon request
10-3d-annotations.jpg,IBM QDC 2025,Nov. 2025,Taken at the venue. Image available upon request
11-3d-pictures.png,Nature Communications https://www.nature.com/articles/s41467-025-67768-4_reference.pdf,Dec. 2025,Figure 4.A
12-3d-qubit-line-hl.jpg,"IBM QDC 2025, https://arxiv.org/pdf/2504.15725",Nov. 2025,Figure 3 (Bottom) (Originally taken at the venue)
13-3d-vertical.jpg,"IBM QDC 2025",Nov 2025,Taken at the venue. Image available upon request
14-cartoons.png,https://arxiv.org/pdf/2504.15725,Nov. 2025,Figure 1
15-3d-horizontal.jpg,"IBM QDC 2025, https://arxiv.org/pdf/2504.15725",Nov 2025,Figure 2.C (Originally taken at the venue)
16-heatmap.jpg,IBM QDC 2025,Nov. 2025,Taken at the venue. Image available upon request
17-cartoons-2.png,https://journals.aps.org/prxquantum/pdf/10.1103/PRXQuantum.6.020330,"Feb 12, 2026", Figure 1
18-on-machine-a.avif,https://quantum.cloud.ibm.com/docs/en/tutorials/sample-based-quantum-diagonalization,"Feb 12, 2026","https://quantum.cloud.ibm.com/assets-docs-learning/_next/image?url=%2Fdocs%2Fimages%2Ftutorials%2Fimproving-energy-estimation-of-a-fermionic-hamiltonian-with-sqd%2F7e0ee7e1-2d24-417f-ac59-25c58db79aa9.avif&w=1920&q=75"
