index,name,group_order,decision,feature,value,detail,definition
175,08-3d-pauli.jpg,03a,Layout_and_Format,Layout,Hybrid_3D,"",""
176,10-3d-annotations.jpg,03a,Layout_and_Format,Layout,Hybrid_3D,"",""
177,11-3d-pictures.png,03a,Layout_and_Format,Layout,Hybrid_3D,"",""
178,09-3d-large.jpg,03a,Layout_and_Format,Layout,Hybrid_3D,"",""
179,12-3d-qubit-line-hl.jpg,03a,Layout_and_Format,Layout,Hybrid_3D,"",""
180,13-3d-vertical.jpg,03a,Layout_and_Format,Layout,Hybrid_3D,"",""
181,15-3d-horizontal.jpg,03a,Layout_and_Format,Layout,Hybrid_3D,"",""
182,51-pennylane-hidden-cut.png,03a,Layout_and_Format,Layout,Hybrid_3D,"",""
183,106-cirq-lat-gau-2.png,03a,Layout_and_Format,Layout,Hybrid_multiples,"",""
184,105-cirq-lat-gau-1.png,03a,Layout_and_Format,Layout,Hybrid_multiples,"",""
185,136-nature-google-2b.png,03a,Layout_and_Format,Layout,Hybrid_multiples,"",""
186,103-cirq-toric-prog.png,03a,Layout_and_Format,Layout,Hybrid_multiples,"",""
187,46-pennylane-select-swap.jpeg,18b,Narrative,Annotation,Selection,"",""
188,75-cirq-repeat.png,18b,Narrative,Annotation,Selection,"",""
189,83-ciq-transformer.png,18b,Narrative,Annotation,Selection,"",""
190,86-cirq-in-and-in.png,18b,Narrative,Annotation,Selection,"",""
191,91-cirq-pascal.png,18b,Narrative,Annotation,Selection,"",""
192,118-nature-yan-4b.png,18b,Narrative,Annotation,Selection,"",""
193,158-nature-ahmed-2b.png,18b,Narrative,Annotation,Selection,"",""
194,174-nature-soltaninia-2a.png,18b,Narrative,Annotation,Selection,"",""
195,176-nature-kim-5.png,18b,Narrative,Annotation,Selection,"",""
196,46-pennylane-select-swap.jpeg,15b,Selection,Method,Annotation,"",""
197,75-cirq-repeat.png,15b,Selection,Method,Annotation,"",""
198,83-ciq-transformer.png,15b,Selection,Method,Annotation,"",""
199,86-cirq-in-and-in.png,15b,Selection,Method,Annotation,"",""
200,91-cirq-pascal.png,15b,Selection,Method,Annotation,"",""
201,118-nature-yan-4b.png,15b,Selection,Method,Annotation,"",""
202,158-nature-ahmed-2b.png,15b,Selection,Method,Annotation,"",""
203,174-nature-soltaninia-2a.png,15b,Selection,Method,Annotation,"",""
204,176-nature-kim-5.png,15b,Selection,Method,Annotation,"",""
205,46-pennylane-select-swap.jpeg,18b,Narrative,Annotation,Selection,"",""
206,109-nature-main-1c.png,18b,Narrative,Annotation,Selection,"",""
207,115-nature-ruiz-1.png,18b,Narrative,Annotation,Selection,"",""
208,122-nature-zhang-3a.png,18b,Narrative,Annotation,Selection,"",""
209,124-nature-than-1c.png,18b,Narrative,Annotation,Selection,"",""
210,125-nature-than-6.png,18b,Narrative,Annotation,Selection,"",""
211,139-nature-wing-bocanegra-5.png,18b,Narrative,Annotation,Selection,"",""
212,164-nature-jager-4a.png,18b,Narrative,Annotation,Selection,"",""
213,171-nature-meth-1d.png,18b,Narrative,Annotation,Selection,"",""
214,176-nature-kim-5.png,18b,Narrative,Annotation,Selection,"",""
215,178-nature-li-1c.png,18b,Narrative,Annotation,Selection,"",""
216,33-li-benjamin.avif,18b,Narrative,Annotation,Selection,"",""
217,145-nature-ringbauer-1b.png,18b,Narrative,Annotation,Selection,"",""
218,46-pennylane-select-swap.jpeg,15b,Selection,Method,Annotation,"",""
219,109-nature-main-1c.png,15b,Selection,Method,Annotation,"",""
220,115-nature-ruiz-1.png,15b,Selection,Method,Annotation,"",""
221,122-nature-zhang-3a.png,15b,Selection,Method,Annotation,"",""
222,124-nature-than-1c.png,15b,Selection,Method,Annotation,"",""
223,125-nature-than-6.png,15b,Selection,Method,Annotation,"",""
224,139-nature-wing-bocanegra-5.png,15b,Selection,Method,Annotation,"",""
225,164-nature-jager-4a.png,15b,Selection,Method,Annotation,"",""
226,171-nature-meth-1d.png,15b,Selection,Method,Annotation,"",""
227,176-nature-kim-5.png,15b,Selection,Method,Annotation,"",""
228,178-nature-li-1c.png,15b,Selection,Method,Annotation,"",""
229,33-li-benjamin.avif,15b,Selection,Method,Annotation,"",""
230,145-nature-ringbauer-1b.png,15b,Selection,Method,Annotation,"",""
231,02-aggregate-ellipsis.png,18b,Narrative,Annotation,Process,"",""
232,159-nature-ahmed-3.png,18b,Narrative,Annotation,Description,"",""
233,75-cirq-repeat.png,18b,Narrative,Annotation,Program_others,"",""
234,83-ciq-transformer.png,18b,Narrative,Annotation,Program_others,"",""
235,137-nature-cai-2c.png,18b,Narrative,Annotation,Program_others,"",""
236,147-nature-feng-1.png,18b,Narrative,Annotation,Program_others,"",""
237,153-nature-hu-1.png,18b,Narrative,Annotation,Program_others,"",""
238,162-nature-dong-1.png,18b,Narrative,Annotation,Program_others,"",""
239,168-nature-pecorari-1a.png,18b,Narrative,Annotation,Name_and_index,"",""
240,14-cartoons.png,18b,Narrative,Annotation,Selection,"",""
241,17-cartoons-2.png,18b,Narrative,Annotation,Selection,"",""
242,19-qiskit-qaoa.svg,18b,Narrative,Annotation,Selection,"",""
243,33-li-benjamin.avif,18b,Narrative,Annotation,Selection,"",""
244,35-vanderberg-pea.avif,18b,Narrative,Annotation,Selection,"",""
245,39-pennylane-tensor.png,18b,Narrative,Annotation,Selection,"",""
246,40-pennylane-mdr.png,18b,Narrative,Annotation,Selection,"",""
247,65-pennylane-qml.png,18b,Narrative,Annotation,Selection,"",""
248,99-cirq-qaoa.png,18b,Narrative,Annotation,Selection,"",""
249,119-nature-akpinar-1-3.png,18b,Narrative,Annotation,Selection,"",""
250,124-nature-than-1c.png,18b,Narrative,Annotation,Selection,"",""
251,131-nature-hothem-1a.png,18b,Narrative,Annotation,Selection,"",""
252,132-nature-hothem-3.png,18b,Narrative,Annotation,Selection,"",""
253,135-nature-google-2a.png,18b,Narrative,Annotation,Selection,"",""
254,138-nature-aljaedi-5.png,18b,Narrative,Annotation,Selection,"",""
255,167-nature-verma-4.png,18b,Narrative,Annotation,Selection,"",""
256,152-nature-kang-3.png,18b,Narrative,Annotation,Selection,"",""
257,159-nature-ahmed-3.png,18b,Narrative,Annotation,Selection,"",""
258,160-nature-shen-2b.png,18b,Narrative,Annotation,Selection,"",""
259,161-nature-ghisoni-1.png,18b,Narrative,Annotation,Selection,"",""
260,162-nature-dong-1.png,18b,Narrative,Annotation,Selection,"",""
261,163-nature-long-3a.png,18b,Narrative,Annotation,Selection,"",""
262,164-nature-jager-4a.png,18b,Narrative,Annotation,Selection,"",""
263,172-nature-kim-3.png,18b,Narrative,Annotation,Selection,"",""
264,180-nature-lacroix-1ab.png,18b,Narrative,Annotation,Selection,"",""
265,183-nature-xie-2.png,18b,Narrative,Annotation,Selection,"",""
266,04-sectioning-anno.png,18b,Narrative,Annotation,Selection,"",""
267,126-nature-butt-3a.png,18b,Narrative,Annotation,Selection,"",""
268,123-nature-zhang-3b.png,18b,Narrative,Annotation,Selection,"",""
269,184-vanderberg-pea-2.png,18b,Narrative,Annotation,Selection,"",""
270,153-nature-hu-1.png,18b,Narrative,Annotation,Selection,"",""
271,128-nature-mihalikova-3.png,18b,Narrative,Annotation,Selection,"",""
272,14-cartoons.png,15b,Selection,Method,Annotation,"",""
273,17-cartoons-2.png,15b,Selection,Method,Annotation,"",""
274,19-qiskit-qaoa.svg,15b,Selection,Method,Annotation,"",""
275,33-li-benjamin.avif,15b,Selection,Method,Annotation,"",""
276,35-vanderberg-pea.avif,15b,Selection,Method,Annotation,"",""
277,39-pennylane-tensor.png,15b,Selection,Method,Annotation,"",""
278,40-pennylane-mdr.png,15b,Selection,Method,Annotation,"",""
279,65-pennylane-qml.png,15b,Selection,Method,Annotation,"",""
280,99-cirq-qaoa.png,15b,Selection,Method,Annotation,"",""
281,119-nature-akpinar-1-3.png,15b,Selection,Method,Annotation,"",""
282,124-nature-than-1c.png,15b,Selection,Method,Annotation,"",""
283,131-nature-hothem-1a.png,15b,Selection,Method,Annotation,"",""
284,132-nature-hothem-3.png,15b,Selection,Method,Annotation,"",""
285,135-nature-google-2a.png,15b,Selection,Method,Annotation,"",""
286,138-nature-aljaedi-5.png,15b,Selection,Method,Annotation,"",""
287,167-nature-verma-4.png,15b,Selection,Method,Annotation,"",""
288,152-nature-kang-3.png,15b,Selection,Method,Annotation,"",""
289,159-nature-ahmed-3.png,15b,Selection,Method,Annotation,"",""
290,160-nature-shen-2b.png,15b,Selection,Method,Annotation,"",""
291,161-nature-ghisoni-1.png,15b,Selection,Method,Annotation,"",""
292,162-nature-dong-1.png,15b,Selection,Method,Annotation,"",""
293,163-nature-long-3a.png,15b,Selection,Method,Annotation,"",""
294,164-nature-jager-4a.png,15b,Selection,Method,Annotation,"",""
295,172-nature-kim-3.png,15b,Selection,Method,Annotation,"",""
296,180-nature-lacroix-1ab.png,15b,Selection,Method,Annotation,"",""
297,183-nature-xie-2.png,15b,Selection,Method,Annotation,"",""
298,04-sectioning-anno.png,15b,Selection,Method,Annotation,"",""
299,126-nature-butt-3a.png,15b,Selection,Method,Annotation,"",""
300,123-nature-zhang-3b.png,15b,Selection,Method,Annotation,"",""
301,184-vanderberg-pea-2.png,15b,Selection,Method,Annotation,"",""
302,153-nature-hu-1.png,15b,Selection,Method,Annotation,"",""
303,128-nature-mihalikova-3.png,15b,Selection,Method,Annotation,"",""
304,02-aggregate-ellipsis.png,18b,Narrative,Annotation,Element_details,"",""
305,28-qiskit-ghz-star-toplogy.avif,18b,Narrative,Annotation,Element_details,"",""
306,63-pennylane-loom.png,18b,Narrative,Annotation,Element_details,"",""
307,65-pennylane-qml.png,18b,Narrative,Annotation,Element_details,"",""
308,66-pennylane-qml-2.png,18b,Narrative,Annotation,Element_details,"",""
309,68-ftqc-1.png,18b,Narrative,Annotation,Element_details,"",""
310,70-ftqc-3.png,18b,Narrative,Annotation,Element_details,"",""
311,73-cirq-append.png,18b,Narrative,Annotation,Element_details,"",""
312,80-cirq-with-noise.png,18b,Narrative,Annotation,Element_details,"",""
313,85-cirq-ignore.png,18b,Narrative,Annotation,Element_details,"",""
314,100-cirq-qaoa-mach.png,18b,Narrative,Annotation,Element_details,"",""
315,102-cirq-toric.png,18b,Narrative,Annotation,Element_details,"",""
316,105-cirq-lat-gau-1.png,18b,Narrative,Annotation,Element_details,"",""
317,115-nature-ruiz-1.png,18b,Narrative,Annotation,Element_details,"",""
318,116-nature-ruiz-2.png,18b,Narrative,Annotation,Element_details,"",""
319,132-nature-hothem-3.png,18b,Narrative,Annotation,Element_details,"",""
320,132-nature-hothem-3.png,18b,Narrative,Annotation,Element_details,"",""
321,145-nature-ringbauer-1b.png,18b,Narrative,Annotation,Element_details,"",""
322,154-nature-mourya-4.png,18b,Narrative,Annotation,Element_details,"",""
323,160-nature-shen-2b.png,18b,Narrative,Annotation,Element_details,"",""
324,163-nature-long-3a.png,18b,Narrative,Annotation,Element_details,"",""
325,181-nature-lacroix-1cd.png,18b,Narrative,Annotation,Element_details,"",""
326,20-qiskit-pauli-corr.avif,18b,Narrative,Annotation,With_emphasis,"",""
327,29-qiskit-long-range.avif,18b,Narrative,Annotation,With_emphasis,"",""
328,59-pennylane-catalyst-5.svg,18b,Narrative,Annotation,With_emphasis,"",""
329,73-cirq-append.png,18b,Narrative,Annotation,With_emphasis,"",""
330,99-cirq-qaoa.png,18b,Narrative,Annotation,With_emphasis,"",""
331,102-cirq-toric.png,18b,Narrative,Annotation,With_emphasis,"",""
332,111-nature-main-3a.png,18b,Narrative,Annotation,With_emphasis,"",""
333,128-nature-mihalikova-3.png,18b,Narrative,Annotation,With_emphasis,"",""
334,171-nature-meth-1d.png,18b,Narrative,Annotation,With_emphasis,"",""
335,174-nature-soltaninia-2a.png,18b,Narrative,Annotation,With_emphasis,"",""
336,01-basic-with-anno.jpg,18b,Narrative,Annotation,With_emphasis,"",""
337,37-syndrome.avif,18b,Narrative,Annotation,Name_and_index,"",""
338,60-pennylane-catalyst-6.svg,18b,Narrative,Annotation,Name_and_index,"",""
339,67-pennylane-qml-3.png,18b,Narrative,Annotation,Name_and_index,"",""
340,183-nature-xie-2.png,18b,Narrative,Annotation,Name_and_index,"",""
341,00-basic-with-hl.jpg,18b,Narrative,Annotation,Name_and_index,"",""
342,26-qiskit-bell-pairs.avif,18b,Narrative,Annotation,Name_and_index,"",""
343,27-qiskit-fractional.avif,18b,Narrative,Annotation,Name_and_index,"",""
344,06-large-circuot-boxing.png,18b,Narrative,Annotation,Name_and_index,"",""
345,07-line-wrapped.jpg,18b,Narrative,Annotation,Name_and_index,"",""
346,21-qiskit-qaoa-step1.avif,18b,Narrative,Annotation,Name_and_index,"",""
347,25-qiskit-grover.avif,18b,Narrative,Annotation,Name_and_index,"",""
348,36-qiskit-bad.avif,18b,Narrative,Annotation,Name_and_index,"",""
349,14-cartoons.png,18b,Narrative,Annotation,Progression,"",""
350,58-pennylane-catalyst-4.svg,18b,Narrative,Annotation,Progression,"",""
351,170-pecorari-2c2.png,18b,Narrative,Annotation,Progression,"",""
352,163-nature-long-3a.png,18b,Narrative,Annotation,Selection,"",""
353,69-ftqc-2.png,18b,Narrative,Annotation,Name_and_index,"",""
354,70-ftqc-3.png,18b,Narrative,Annotation,Name_and_index,"",""
355,121-nature-gao-3-3.png,18b,Narrative,Annotation,Name_and_index,"",""
356,114-nature-ruiz-3.png,18b,Narrative,Annotation,Selection,"",""
357,114-nature-ruiz-3.png,15b,Selection,Method,Annotation,"",""
358,173-nature-brock-2b.png,18d,Narrative,Attachment,Expected_results,State,""
359,118-nature-yan-4b.png,18d,Narrative,Attachment,Classical_processing,Memory,""
360,118-nature-yan-4b.png,14a,Classical,Information,Memory,"",""
361,183-nature-xie-2.png,18d,Narrative,Attachment,Classical_processing,Data,""
362,168-nature-pecorari-1a.png,18d,Narrative,Attachment,Problem_topic,Physics_chemisry,""
363,126-nature-butt-3a.png,18d,Narrative,Attachment,Problem_topic,Mathematics,""
364,20-qiskit-pauli-corr.avif,18d,Narrative,Attachment,Problem_topic,Mathematics,""
365,112-nature-ruiz-1.png,18d,Narrative,Attachment,Classical_processing,Optimization,""
366,113-nature-ruiz-2.png,18d,Narrative,Attachment,Classical_processing,Optimization,""
367,78-cirq-with-unitary.png,18d,Narrative,Attachment,Unitary,"",""
368,178-nature-li-1c.png,18d,Narrative,Attachment,Unitary,"",""
369,08-3d-pauli.jpg,17b,Reference,Legend,Grid_axis,"",""
370,09-3d-large.jpg,17a,Reference,Axis,Time,"",""
371,16-heatmap.jpg,17a,Reference,Axis,Time,"",""
372,16-heatmap.jpg,17a,Reference,Axis,Space,"",""
373,89-cirq-machine-1.png,17a,Reference,Axis,Space,"",""
374,90-cirq-machine-2.png,17a,Reference,Axis,Space,"",""
375,93-cirq-mocking-2.png,17a,Reference,Axis,Space,"",""
376,104-pennylane-toric.png,17a,Reference,Axis,Space,"",""
377,09-3d-large.jpg,17a,Reference,Axis,Space,"",""
378,33-li-benjamin.avif,17a,Reference,Axis,Time,"",""
379,105-cirq-lat-gau-1.png,17a,Reference,Axis,Time,"",""
380,106-cirq-lat-gau-2.png,17a,Reference,Axis,Time,"",""
381,149-nature-turkeshi-1.png,17a,Reference,Axis,Time,"",""
382,160-nature-shen-2b.png,17a,Reference,Axis,Time,"",""
383,69-ftqc-2.png,10b,Qubit_connectivity,Representation,Glyph,"",""
384,70-ftqc-3.png,10b,Qubit_connectivity,Representation,Glyph,"",""
385,90-cirq-machine-2.png,10b,Qubit_connectivity,Representation,Cell,"",""
386,93-cirq-mocking-2.png,10b,Qubit_connectivity,Representation,Cell,"",""
387,102-cirq-toric.png,10b,Qubit_connectivity,Representation,Grid,"",""
388,105-cirq-lat-gau-1.png,10b,Qubit_connectivity,Representation,Hidden,"",""
389,09-3d-large.jpg,10b,Qubit_connectivity,Representation,Hidden,"",""
390,136-nature-google-2b.png,10b,Qubit_connectivity,Representation,Hidden,"",""
391,104-pennylane-toric.png,10b,Qubit_connectivity,Representation,Hidden,"",""
392,107-cirq-lat-gau-3.png,10b,Qubit_connectivity,Representation,Hidden,"",""
393,106-cirq-lat-gau-2.png,10b,Qubit_connectivity,Representation,Hidden,"",""
394,103-cirq-toric-prog.png,10b,Qubit_connectivity,Representation,Hidden,"",""
395,108-cirq-lat-gau-4.png,10b,Qubit_connectivity,Representation,Hidden,"",""
396,170-pecorari-2c2.png,10b,Qubit_connectivity,Representation,Hidden,"",""
397,115-nature-ruiz-1.png,10b,Qubit_connectivity,Representation,Hidden,"",""
398,168-nature-pecorari-1a.png,10b,Qubit_connectivity,Representation,Hidden,"",""
399,169-nature-pecorari-2b.png,10b,Qubit_connectivity,Representation,Hidden,"",""
400,175-nature-kim-1b.png,10c,Qubit_connectivity,Representation_characteristic,Selective,"",""
401,144-nature-ringbauer-1c.png,10c,Qubit_connectivity,Representation_characteristic,Selective,"",""
402,92-cirq-mocking.png,10b,Qubit_connectivity,Representation,Grid,"",""
403,133-nature-hillmann-1.png,10b,Qubit_connectivity,Representation,Grid,"",""
404,134-nature-hillmann-2.png,10b,Qubit_connectivity,Representation,Grid,"",""
405,181-nature-lacroix-1cd.png,10b,Qubit_connectivity,Representation,Grid,"",""
406,11-3d-pictures.png,10b,Qubit_connectivity,Representation,Grid,"",""
407,145-nature-ringbauer-1b.png,10b,Qubit_connectivity,Representation,Grid,"",""
408,144-nature-ringbauer-1c.png,10b,Qubit_connectivity,Representation,Grid,"",""
409,18-on-machine-a.avif,10b,Qubit_connectivity,Representation,Grid,"",""
410,08-3d-pauli.jpg,10b,Qubit_connectivity,Representation,Grid,"",""
411,81-cirq-grid.png,10b,Qubit_connectivity,Representation,Grid,"",""
412,89-cirq-machine-1.png,10b,Qubit_connectivity,Representation,Grid,"",""
413,122-nature-zhang-3a.png,10b,Qubit_connectivity,Representation,Grid,"",""
414,10-3d-annotations.jpg,10b,Qubit_connectivity,Representation,Grid,"",""
415,66-pennylane-qml-2.png,10b,Qubit_connectivity,Representation,Grid,"",""
416,23-qiskit-nishimori.avif,10b,Qubit_connectivity,Representation,Grid,"",""
417,30-qiskit-plot-circ-lay.avif,10b,Qubit_connectivity,Representation,Grid,"",""
418,180-nature-lacroix-1ab.png,10b,Qubit_connectivity,Representation,Grid,"",""
419,182-nature-lacroix-3d.png,10b,Qubit_connectivity,Representation,Grid,"",""
420,186-cirq-fh.png,10b,Qubit_connectivity,Representation,Grid,"",""
421,13-3d-vertical.jpg,10b,Qubit_connectivity,Representation,Grid,"",""
422,15-3d-horizontal.jpg,10b,Qubit_connectivity,Representation,Grid,"",""
423,100-cirq-qaoa-mach.png,10c,Qubit_connectivity,Representation_characteristic,With_weight,"",""
424,61-pennylane-tele.png,13a,Mid_circuit_measure,Information,Between_gates,"",""
425,62-pennylane-tele-2.png,13a,Mid_circuit_measure,Information,Between_gates,"",""
426,116-nature-ruiz-2.png,13a,Mid_circuit_measure,Information,Between_gates,"",""
